List of countries attracting investment from China,,,,,,,,,,,,,,,,
Unit : US$ million,,,,,,,,,,,,,,,,
UN ITC Investment Map,https://www.investmentmap.org/investment/time-series-by-country,,,,,,,,,,,,,,,
Data stops in 2018,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Partner Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,"2,850","5,500","12,260","21,160","26,510","55,910","56,530","68,810","74,650","87,800","107,840","123,120","145,670","196,150","158,290","143,040"
Afghanistan,0,0,0,0,0,114,16,2,296,18,-1,28,-3,2,5,0
Albania,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,0,11,85,99,146,42,229,186,114,246,191,666,211,-100,-141,0
Angola,0,0,0,22,41,-10,8,101,73,392,224,-449,58,164,638,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Argentina,0,1,0,6,137,11,-23,27,185,743,221,270,208,182,215,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Australia,0,125,193,88,532,"1,892","2,436","1,702","3,165","2,173","3,458","4,049","3,401","4,187","4,242","1,990"
Azerbaijan,0,0,0,4,-1,-1,2,0,18,0,-4,17,1,-25,0,0
Bahamas,0,44,23,3,39,-56,1,0,0,0,0,0,0,7,0,0
Bahrain,0,0,0,-2,0,0,0,0,0,5,-5,0,0,36,37,0
Bangladesh,0,1,0,5,4,5,11,7,10,33,41,25,31,41,99,0
Barbados,0,0,0,2,0,1,1,-2,0,1,1,-2,0,14,16,0
Belarus,0,0,0,0,0,2,2,19,9,44,27,64,54,161,143,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,14,1,0,6,15,0,2,1,5,8,7,15,10,1,0
Bermuda,0,1,57,25,-103,-105,0,171,116,39,19,708,"1,127",499,-248,0
"Bolivia, Plurinational State of",0,0,0,18,2,4,18,3,9,43,14,25,34,55,-26,0
Bosnia and Herzegovina,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0
Botswana,0,0,4,3,2,14,18,44,22,21,10,53,86,106,-22,0
Brazil,0,6,15,10,51,22,116,487,126,194,311,730,-63,125,426,0
British Virgin Islands,0,386,"1,226",538,"1,876","2,104","1,612","6,120","6,208","2,239","3,222","4,570","1,849","12,288","19,301","7,150"
Brunei Darussalam,0,0,2,0,1,2,6,17,20,1,9,-3,4,142,71,0
Bulgaria,0,0,2,0,0,0,-2,16,54,54,21,20,59,-15,89,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
Burundi,0,0,0,0,0,0,1,0,0,2,1,3,2,2,-1,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,30,5,10,64,205,216,467,566,560,499,438,420,626,744,780
Cameroon,0,0,0,1,2,2,1,15,2,18,57,30,25,114,88,0
Canada,0,5,32,35,"1,033",7,613,"1,142",554,795,"1,009",904,"1,563","2,872",321,"1,560"
Cayman Islands,0,"1,286","5,163","7,833","2,602","1,524","5,366","3,496","4,936",827,"9,253","4,192","10,213","13,523","-6,606","5,470"
Central African Republic,0,0,0,0,0,0,0,26,2,0,1,182,0,0,0,0
