Country Name,GDP Per Capita,Max Inflation Rate,Min Government Net Lending-Borrowing Ratio,Total Exports to China,Total Imports from China,Geographic proximity to China,Population Size,Swap Recipient
Afghanistan,534,26.4,-3.9,0,0,2060,28.4,0
Albania,4662,6.7,-6.7,0,0,4375,2.9,1
Algeria,4501,9.3,-15.7,0.1,0.3,5742,40,0
Andorra,44388,6.2,-3.5,0,0,5157,0.1,0
Angola,3248,30.7,-7.9,1.3,0.1,6467,28.3,0
Antigua and Barbuda,15222,7.5,-17.8,0,0,8667,0.1,0
Argentina,11498,72.4,-8.6,0.4,0.4,11743,43.1,1
Armenia,3929,9.1,-7.7,0,0,3176,3,1
Aruba,27655,9,-16,0,0,9072,0.1,0
Australia,56484,6.6,-8.7,4.9,1.8,4644,23.9,1
Azerbaijan,5681,20.8,-6.7,0,0,3045,9.6,0
Bahamas,28580,5.6,-13.6,0,0,8228,0.4,0
Bahrain,23963,3.6,-18.3,0,0,3209,1.4,0
Bangladesh,1386,9.9,-5.4,0,0.6,1179,156.2,0
Barbados,17217,9.4,-10.2,0,0,8885,0.3,0
Belarus,6543,59.2,-10.9,0,0.1,3738,9.4,1
Belize,5835,6.4,-8.4,0,0,8678,0.4,0
Benin,1143,7,-5.7,0,0.1,6495,11,0
Bhutan,2665,10.1,-7.5,0,0,992,0.7,0
"Bolivia, Plurinational State of",2765,14,-12.7,0,0,10890,10.8,0
Bosnia and Herzegovina,5295,14,-5.3,0,0,4407,3.6,0
Botswana,6344,12.6,-13.8,0,0,6560,2.3,0
Brazil,9888,9.3,-13.3,3.2,1.4,10335,203.2,1
Brunei Darussalam,34554,3.7,-21.7,0,0,2266,0.4,0
Bulgaria,8340,13,-3.8,0,0.1,4081,7.2,0
Burkina Faso,724,14.1,-10.4,0,0,6578,18.8,0
Burundi,233,24.4,-12.1,0,0,5483,10.3,0
Cabo Verde,3606,7.9,-10.5,0,0,7536,0.5,0
Cambodia,1176,25,-7.1,0,0.2,1611,15,1
Cameroon,1505,5.3,-5.9,0,0.1,6023,23.4,0
Canada,47379,6.8,-10.9,1.3,1.4,5832,35.9,1
Central African Republic,432,17.8,-6,0,0,5574,4.6,0
Chad,820,10.1,-9.2,0,0,5349,14.2,0
Chile,14036,11.6,-7.5,1.2,0.6,12198,18.2,1
Colombia,6601,10.2,-7.2,0.2,0.3,9641,46.9,0
Comoros,1478,12,-5.5,0,0,5143,0.8,0
Congo,447,46.1,-17.8,0.2,0,6136,4.2,0
"Congo, Democratic Republic of the",2710,6,-2,0.2,0.1,5960,78.1,0
Costa Rica,10537,13.4,-8.4,0.1,0.1,9243,4.8,0
Côte d'Ivoire,1997,5.2,-6.7,0,0.1,6994,23.9,0
Croatia,14294,10.7,-7.6,0,0.1,4481,4.2,0
Cuba,7395,70,,0,0.1,8470,11.3,0
Czech Republic,21310,15.1,-5.8,0.2,0.4,4330,10.5,0
Denmark,60012,8.5,-3.5,0.2,0.3,4369,5.7,0
Djibouti,2130,8.7,-15.5,0,0.1,4158,0.9,0
Dominica,7461,7.5,-18.7,0,0,8770,0.1,0
Dominican Republic,6678,10.6,-7.9,0,0.1,8646,10,0
Ecuador,5648,8.4,-10.1,0.1,0.1,10081,16.3,0
Egypt,2915,23.5,-12.3,0.1,0.5,4277,89.5,1
El Salvador,3679,7.3,-8.2,0,0,8901,6.2,0
Equatorial Guinea,12652,5.7,-15.1,0.1,0,6372,1.2,0
Eritrea,579,33.9,-31.6,0,0,4186,3.4,0
Eswatini,3791,12.7,-9.5,0,0,7243,1.1,0
Ethiopia,601,44.4,-4.2,0,0.1,4381,89.2,0
European Central Bank,38742,8.4,-7.1,10.2,12.6,4520,342.6,1
Fiji,4775,7.7,-13.6,0,0,6075,0.9,0
Gabon,8208,5.3,-4.7,0.1,0,6396,1.9,0
Gambia,700,11.5,-6.2,0,0,7227,2.1,0
Georgia,4166,11.9,-9.3,0,0,3224,3.7,1
Ghana,1806,31.9,-17.4,0.1,0.2,6733,27.6,0
Grenada,8069,8,-6.8,0,0,8996,0.1,0
Guatemala,3828,11.4,-4.9,0,0.1,8746,16.3,0
Guinea,822,21.4,-9.7,0.1,0,7105,12.4,0
Guinea-Bissau,653,10.4,-9.6,0,0,7298,1.6,0
Guyana,5824,8.1,-7.8,0,0,9418,0.8,0
Haiti,1365,27.6,-4,0,0,8641,10.9,0
Honduras,2200,11.4,-5.7,0,0,8843,9.1,0
"Hong Kong, China",40747,5.3,-9.2,0.7,13.1,1105,7.3,1
Hungary,14703,14.5,-7.5,0.2,0.3,4234,9.9,1
Iceland,56913,12.7,-12.1,0,0,4833,0.3,1
India,1626,12.3,-12.9,1,2.7,1854,1319.9,0
Indonesia,3489,9.9,-6.1,1.7,1.6,2609,254.3,1
"Iran, Islamic Republic of",5460,49,-5.8,1,0.6,2866,79,0
Iraq,5094,6.1,-14.5,0.8,0.3,3393,35.5,0
Israel,37954,4.6,-10.8,0.2,0.4,3927,8.4,0
Jamaica,5127,22,-11.1,0,0,8707,2.7,0
Japan,41185,2.8,-9.7,9.5,6.5,1893,126.8,1
Jordan,4050,12.7,-14.3,0,0.1,3866,8.9,0
Kazakhstan,10143,17.1,-7,0.5,0.5,2066,17.7,1
Kenya,1491,15.1,-8.1,0,0.2,4905,43.5,0
Kiribati,1520,13.7,-19.8,0,0,6614,0.1,0
"Korea, Republic of",28020,5.1,-2.2,0.1,4.4,1316,50.8,1
Kosovo,3789,11.7,-7.9,9.3,0,4298,1.8,0
Kuwait,37769,6.3,-11.4,0.5,0.1,3287,4.2,0
Kyrgyzstan,1160,24.5,-5.9,0,0.3,1624,5.9,0
Lao People's Democratic Republic,1917,23,-5.6,0.1,0.1,1110,6.8,1
Lebanon,7549,84.9,-11.3,0,0.1,3794,6.1,0
