Country,KM,Miles,,
Afghanistan,"3,315","2,060",,*countries not yet double checked against GDP list
Aland Islands,"6,309","3,920",,
Albania,"7,041","4,375",,
Algeria,"9,241","5,742",,
American Samoa,"10,504","6,527",,
Andorra,"8,300","5,157",,
Angola,"10,408","6,467",,
Anguilla,"13,854","8,608",,
Antarctica,"14,373","8,931",,
Antigua and Barbuda,"13,948","8,667",,
Argentina,"18,899","11,743",,
Armenia,"5,111","3,176",,
Aruba,"14,600","9,072",,
Australia,"7,474","4,644",,
Azerbaijan,"4,900","3,045",,
Bahamas,"13,242","8,228",,
Bahrain,"5,164","3,209",,
Bangladesh,"1,898","1,179",,
Barbados,"14,299","8,885",,
Belarus,"6,016","3,738",,
Belize,"13,966","8,678",,
Benin,"10,453","6,495",,
Bermuda,"12,348","7,673",,
Bhutan,"1,596",992,,
Bolivia,"17,525","10,890",,
"Bonaire, Saint Eustatius and Saba","14,614","9,081",,
Bosnia and Herzegovina,"7,092","4,407",,
Botswana,"10,557","6,560",,
Bouvet Island,"13,830","8,594",,
Brazil,"16,633","10,335",,
British Indian Ocean Territory,"5,839","3,628",,
British Virgin Islands,"13,866","8,616",,
Brunei,"3,647","2,266",,
Bulgaria,"6,568","4,081",,
Burkina Faso,"10,587","6,578",,
Burundi,"8,824","5,483",,
Cambodia,"2,592","1,611",,
Cameroon,"9,693","6,023",,
Canada,"9,386","5,832",,
Cape Verde,"12,128","7,536",,
Cayman Islands,"13,853","8,608",,
Central African Republic,"8,971","5,574",,
Chad,"8,608","5,349",,
Chile,"19,630","12,198",,
Christmas Island,"5,152","3,201",,
Cocos Islands,"5,397","3,354",,
Colombia,"15,516","9,641",,
Comoros,"8,277","5,143",,
Cook Islands,"11,892","7,389",,
Costa Rica,"14,875","9,243",,
Croatia,"7,211","4,481",,
Cuba,"13,631","8,470",,
Curacao,"14,626","9,088",,
Czech Republic,"6,968","4,330",,
Democratic Republic of the Congo,"9,592","5,960",,
Denmark,"7,031","4,369",,
Djibouti,"6,692","4,158",,
Dominica,"14,114","8,770",,
Dominican Republic,"13,915","8,646",,
East Timor,"5,462","3,394",,
Ecuador,"16,223","10,081",,
Egypt,"6,883","4,277",,
El Salvador,"14,324","8,901",,
Equatorial Guinea,"10,254","6,372",,
Eritrea,"6,736","4,186",,
Ethiopia,"7,051","4,381",,
European Central Bank,"7,267","4,515",,
Falkland Islands,"17,825","11,076",,
Faroe Islands,"7,529","4,678",,
Fiji,"9,777","6,075",,
French Guiana,"15,000","9,321",,
