Title,"Inflation, consumer prices (annual %)",,,,,,,,,,,,,,,,,,,,
Data Source,World Bank Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/29/23,,,,,,,,,,,,,,,,,,,,
Link,https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,WLD,3.0 ,3.5 ,4.1 ,4.3 ,4.8 ,8.9 ,2.9 ,3.3 ,4.8 ,3.7 ,2.6 ,2.3 ,1.4 ,1.6 ,2.2 ,2.4 ,2.2 ,1.9 ,3.5 ,8.3 
Afghanistan,AFG,,,12.7 ,6.8 ,8.7 ,26.4 ,-6.8 ,2.2 ,11.8 ,6.4 ,7.4 ,4.7 ,-0.7 ,4.4 ,5.0 ,0.6 ,2.3 ,,,
Albania,ALB,0.5 ,2.3 ,2.4 ,2.4 ,2.9 ,3.3 ,2.3 ,3.6 ,3.4 ,2.0 ,1.9 ,1.6 ,1.9 ,1.3 ,2.0 ,2.0 ,1.4 ,1.6 ,2.0 ,6.7 
Algeria,DZA,4.3 ,4.0 ,1.4 ,2.3 ,3.7 ,4.9 ,5.7 ,3.9 ,4.5 ,8.9 ,3.3 ,2.9 ,4.8 ,6.4 ,5.6 ,4.3 ,2.0 ,2.4 ,7.2 ,9.3 
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,
Angola,AGO,98.2 ,43.5 ,23.0 ,13.3 ,12.3 ,12.5 ,13.7 ,14.5 ,13.5 ,10.3 ,8.8 ,7.3 ,9.4 ,30.7 ,29.8 ,19.6 ,17.1 ,22.3 ,25.8 ,
Antigua and Barbuda,ATG,2.0 ,2.0 ,2.1 ,1.8 ,1.4 ,5.3 ,-0.6 ,3.4 ,3.5 ,3.4 ,1.1 ,1.1 ,1.0 ,-0.5 ,2.4 ,1.2 ,1.4 ,0.6 ,2.1 ,7.5 
Argentina,ARG,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,4.7 ,7.0 ,0.6 ,2.9 ,4.4 ,8.9 ,3.4 ,8.2 ,7.7 ,2.6 ,5.8 ,3.0 ,3.7 ,-1.4 ,1.0 ,2.5 ,1.4 ,1.2 ,7.2 ,8.6 
Aruba,ABW,3.7 ,2.5 ,3.4 ,3.6 ,5.4 ,9.0 ,-2.1 ,2.1 ,4.3 ,0.6 ,-2.4 ,0.4 ,0.5 ,-0.9 ,-1.0 ,3.6 ,4.3 ,,,
Australia,AUS,2.7 ,2.3 ,2.7 ,3.6 ,2.3 ,4.4 ,1.8 ,2.9 ,3.3 ,1.8 ,2.4 ,2.5 ,1.5 ,1.3 ,1.9 ,1.9 ,1.6 ,0.8 ,2.9 ,6.6 
Azerbaijan,AZE,2.2 ,6.7 ,9.7 ,8.3 ,16.7 ,20.8 ,1.5 ,5.7 ,7.9 ,1.1 ,2.4 ,1.4 ,4.0 ,12.4 ,12.9 ,2.3 ,2.6 ,2.8 ,6.7 ,13.9 
Bahamas,BHS,3.0 ,1.0 ,1.6 ,2.4 ,2.5 ,4.5 ,2.1 ,1.3 ,3.2 ,2.0 ,0.7 ,1.5 ,1.9 ,-0.3 ,1.5 ,2.3 ,2.5 ,0.0 ,2.9 ,5.6 
Bahrain,BHR,1.6 ,2.4 ,2.6 ,2.0 ,3.3 ,3.5 ,2.8 ,2.0 ,-0.4 ,2.8 ,3.3 ,2.6 ,1.8 ,2.8 ,1.4 ,2.1 ,1.0 ,-2.3 ,-0.6 ,3.6 
Bangladesh,BGD,5.7 ,7.6 ,7.0 ,6.8 ,9.1 ,8.9 ,5.4 ,8.1 ,11.4 ,6.2 ,7.5 ,7.0 ,6.2 ,5.5 ,5.7 ,5.5 ,5.6 ,5.7 ,5.5 ,7.7 
Barbados,BRB,1.6 ,1.4 ,6.1 ,7.3 ,4.0 ,8.1 ,3.6 ,5.8 ,9.4 ,4.5 ,1.8 ,1.8 ,-1.1 ,1.3 ,4.7 ,3.7 ,4.1 ,,,
Belarus,BLR,28.4 ,18.1 ,10.3 ,7.0 ,8.4 ,14.8 ,12.9 ,7.7 ,53.2 ,59.2 ,18.3 ,18.1 ,13.5 ,11.8 ,6.0 ,4.9 ,5.6 ,5.5 ,9.5 ,15.2 
Belize,BLZ,2.3 ,6.4 ,-1.1 ,-7.1 ,2.3 ,6.4 ,-1.1 ,0.9 ,1.6 ,1.3 ,0.5 ,1.2 ,-0.9 ,0.7 ,1.1 ,0.3 ,0.2 ,0.1 ,3.2 ,
Benin,BEN,1.5 ,0.9 ,5.4 ,3.8 ,1.3 ,7.9 ,0.9 ,2.2 ,2.7 ,6.7 ,0.4 ,-0.5 ,0.2 ,-0.8 ,1.8 ,0.6 ,-0.7 ,3.0 ,1.7 ,1.4 
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,2.6 ,4.1 ,5.3 ,5.0 ,5.2 ,8.3 ,4.4 ,7.0 ,8.8 ,10.9 ,7.0 ,8.3 ,4.5 ,3.2 ,5.0 ,2.7 ,2.7 ,5.6 ,7.3 ,5.6 
"Bolivia, Plurinational State of",BOL,3.3 ,4.4 ,5.4 ,4.3 ,8.7 ,14.0 ,3.3 ,2.5 ,9.9 ,4.5 ,5.7 ,5.8 ,4.1 ,3.6 ,2.8 ,2.3 ,1.8 ,0.9 ,0.7 ,1.7 
Bosnia and Herzegovina,BIH,,,,6.1 ,1.5 ,7.4 ,-0.4 ,2.0 ,3.7 ,2.1 ,-0.1 ,-0.9 ,-1.0 ,-1.6 ,0.8 ,1.4 ,0.6 ,-1.1 ,2.0 ,14.0 
Botswana,BWA,9.2 ,6.9 ,8.6 ,11.6 ,7.1 ,12.7 ,8.0 ,6.9 ,8.5 ,7.5 ,5.9 ,4.4 ,3.1 ,2.8 ,3.3 ,3.2 ,2.8 ,1.9 ,7.2 ,11.7 
Brazil,BRA,14.7 ,6.6 ,6.9 ,4.2 ,3.6 ,5.7 ,4.9 ,5.0 ,6.6 ,5.4 ,6.2 ,6.3 ,9.0 ,8.7 ,3.4 ,3.7 ,3.7 ,3.2 ,8.3 ,9.3 
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,
