Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,"412,759,796","561,228,748","659,952,762","791,460,868","956,115,448","1,132,562,200","1,005,555,200","1,396,001,600","1,743,394,900","1,818,199,200","1,949,992,300","1,959,234,625","1,681,670,816","1,588,695,867","1,840,957,060","2,134,987,265","2,066,513,429","2,057,021,048","2,675,680,064","2,715,998,754"
European Central Bank,"46,220,996","59,391,177","62,459,324","77,180,964","93,615,854","111,113,074","107,469,683","141,810,060","178,448,432","176,896,274","180,677,429","197,815,732","169,319,951","167,849,136","196,434,208","220,558,944","222,670,223","225,105,803","270,168,567","250,461,497"
"Taipei, Chinese","49,360,598","64,759,316","74,680,434","87,098,633","101,027,666","103,338,103","85,722,961","115,733,646","124,910,647","132,199,339","156,405,132","152,007,130","144,980,999","139,715,214","154,796,770","177,345,362","173,012,781","200,497,888","249,876,255","238,091,695"
"Korea, Republic of","43,128,054","62,234,102","76,820,404","89,724,142","103,751,686","112,137,921","102,551,712","138,339,223","162,716,843","168,728,402","183,072,918","190,108,773","174,563,830","159,168,781","177,523,904","204,566,451","173,559,029","173,100,171","213,445,080","199,667,118"
Japan,"74,148,125","94,326,727","100,407,681","115,672,581","133,950,504","150,600,041","130,937,525","176,736,084","194,567,856","177,832,336","162,245,573","162,920,512","143,092,949","145,771,152","165,494,647","180,401,786","171,768,696","174,655,179","205,523,715","184,496,995"
United States of America,"33,944,166","44,747,869","48,741,359","59,314,270","69,547,964","81,585,556","77,755,101","102,734,185","123,124,010","133,765,823","153,394,862","160,064,514","150,543,984","135,047,253","154,839,684","156,004,357","123,792,117","136,339,521","180,971,848","178,956,846"
Australia,"7,300,072","11,552,489","16,193,627","19,323,299","25,801,494","37,435,133","39,438,780","61,105,168","82,667,477","84,568,209","98,954,088","97,630,887","73,871,388","70,233,044","94,632,692","105,083,923","121,289,666","117,693,743","163,729,736","142,091,499"
China,"25,094,296","38,654,538","55,162,905","73,332,834","85,773,204","92,461,200","86,413,993","106,867,897","122,614,384","142,929,913","157,540,888","144,880,437","144,434,506","128,794,412","132,604,645","146,381,812","129,792,198","125,264,226","156,820,006","122,883,424"
Russian Federation,"9,728,068","12,127,411","15,889,943","17,554,327","19,688,579","23,832,762","21,282,952","25,913,994","40,362,600","44,138,279","39,667,828","41,593,505","33,216,612","32,131,140","41,351,921","58,887,066","61,190,632","57,114,667","78,142,344","114,148,971"
Malaysia,"13,986,408","18,174,737","20,093,205","23,572,434","28,723,283","32,101,396","32,330,691","50,430,150","62,136,640","58,304,935","60,153,184","55,652,243","53,257,648","49,118,293","53,961,162","63,321,954","71,909,977","75,174,351","98,192,537","109,878,980"
Brazil,"5,842,292","8,672,861","9,992,524","12,909,495","18,342,071","29,863,443","28,280,983","38,099,447","52,386,750","52,281,127","54,299,123","51,653,225","44,339,257","45,603,468","58,476,878","77,141,726","79,962,547","85,517,209","109,877,876","109,522,043"
Viet Nam,"1,456,708","2,481,989","2,552,838","2,486,076","3,226,281","4,336,317","4,746,740","6,984,262","11,116,531","16,229,125","16,891,893","19,906,398","25,127,731","37,216,721","50,374,166","64,087,360","64,116,675","78,473,072","92,315,967","87,960,626"
Saudi Arabia,"5,172,322","7,522,645","12,245,715","15,084,532","17,560,476","31,022,698","23,620,244","32,829,048","49,467,520","54,861,126","53,450,711","48,508,026","30,150,711","23,613,002","31,751,563","45,898,673","54,195,937","39,069,814","56,961,585","78,045,605"
Indonesia,"5,746,971","7,215,671","8,436,960","9,605,743","12,464,207","14,322,935","13,663,783","20,795,189","31,337,084","31,935,986","31,424,279","24,485,247","19,814,522","21,344,561","28,517,172","34,154,685","34,113,874","37,480,543","63,886,547","77,770,058"
Thailand,"8,826,842","11,540,505","13,991,887","17,962,428","22,665,748","25,656,737","24,896,942","33,193,365","39,039,796","38,551,206","38,522,681","38,331,928","37,221,138","38,686,369","41,805,850","44,918,670","46,161,651","48,139,504","61,818,243","56,517,649"
Switzerland,"2,692,214","3,636,716","3,890,301","4,268,222","5,868,268","7,384,708","6,949,483","17,108,296","27,287,232","22,884,176","56,191,550","40,541,086","41,205,072","40,072,262","33,014,622","38,706,199","27,402,268","17,494,678","38,068,596","49,907,977"
United Arab Emirates,"773,464","1,304,476","2,045,599","2,796,745","3,012,027","4,613,250","2,595,229","4,451,552","8,306,606","10,851,924","12,823,526","15,763,357","11,531,801","9,977,742","12,224,129","16,281,247","15,336,739","17,054,552","28,567,889","45,407,517"
Chile,"2,248,158","3,666,724","4,991,536","5,735,872","10,280,372","11,172,814","12,790,520","17,935,193","20,578,293","20,631,633","20,707,685","20,985,876","18,680,364","18,410,497","20,891,275","26,999,814","26,229,201","29,932,012","39,458,634","44,486,040"
Canada,"4,374,492","7,352,990","7,511,155","7,662,114","10,979,292","12,673,351","12,026,170","14,921,961","22,167,123","23,209,148","25,236,971","25,182,010","26,280,562","18,265,806","20,337,636","28,354,115","28,152,090","22,063,323","30,450,113","42,383,257"
Iraq,325,"320,250","415,680","653,273","765,797","1,381,664","3,298,111","6,275,191","10,443,634","12,655,773","17,984,764","20,761,239","12,670,542","10,646,475","13,788,755","22,466,146","23,927,336","19,303,765","26,647,233","39,384,745"
Oman,"1,985,754","4,278,487","4,138,913","6,129,474","6,722,949","11,626,847","5,409,904","9,779,204","14,876,688","16,974,957","21,040,613","23,795,856","15,061,979","11,966,072","13,170,395","18,821,414","19,650,155","15,659,425","28,587,514","36,239,772"
Singapore,"10,484,851","13,994,473","16,514,596","17,672,616","17,550,373","20,171,265","17,796,637","24,728,920","28,139,649","28,529,563","30,064,515","30,828,733","27,557,900","25,938,742","34,133,663","33,638,316","35,237,819","31,616,282","38,803,060","33,958,353"
South Africa,"1,839,993","2,960,203","3,443,052","4,085,358","6,618,094","9,234,973","8,693,253","14,896,422","32,095,190","44,653,737","48,388,425","44,568,130","30,225,916","22,555,964","24,833,903","27,240,322","25,948,856","20,824,538","32,973,970","32,543,295"
