Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,"438,227,767","593,325,581","761,953,410","968,935,601","1,220,059,668","1,430,693,100","1,201,646,800","1,577,763,800","1,898,388,400","2,048,782,200","2,209,007,300","2,342,292,696","2,281,855,922","2,118,980,582","2,271,796,142","2,494,230,195","2,498,334,248","2,588,402,392","3,361,814,264","3,593,601,450"
European Central Bank,"59,414,414","82,637,815","112,703,625","141,363,812","186,133,727","221,955,537","175,880,662","235,031,135","269,216,583","246,717,530","245,305,925","266,824,896","250,693,060","239,545,547","263,798,408","291,571,809","300,585,787","319,322,423","423,927,679","461,492,485"
United States of America,"92,626,296","125,148,956","163,180,459","203,801,046","233,168,790","252,843,531","221,295,020","283,780,323","325,010,988","352,438,221","369,063,859","397,099,250","410,804,880","388,145,454","431,664,273","479,701,581","419,322,837","452,492,932","577,125,500","582,756,120"
Afghanistan,"26,447","56,973","51,209","100,487","169,533","151,627","213,366","175,265","230,010","464,034","328,259","393,559","364,319","431,894","541,094","667,868","599,799","500,680","474,451","553,083"
Albania,"32,194","63,248","83,210","66,055","89,979","196,106","207,862","199,278","281,483","343,905","324,596","378,270","430,471","512,600","453,691","541,832","601,093","571,224","591,557","704,080"
Algeria,"645,937","980,519","1,404,420","1,947,514","2,741,975","3,751,910","4,180,239","3,999,999","4,471,882","5,416,657","6,023,897","7,395,178","7,600,452","7,736,763","6,788,723","7,923,382","6,941,783","5,596,322","6,349,680","6,276,098"
Andorra,868,"2,113","3,231",884,710,"1,168","2,497","3,372","5,619","26,846","2,244","2,204","1,835","1,251","1,208","1,865","2,554","3,401","4,330","22,261"
Angola,"145,791","193,518","372,794","894,186","1,234,519","2,942,470","2,385,960","2,003,873","2,784,153","4,039,171","3,964,059","5,974,997","3,723,163","1,712,643","2,282,863","2,234,928","2,055,727","1,748,092","2,491,546","4,096,911"
Antigua and Barbuda,"3,116","118,526","146,899","161,051","395,553","529,479","493,690","806,161","656,772","746,977","245,482","172,363","54,021","103,666","45,106","54,803","71,936","91,316","110,255","104,519"
Argentina,"447,186","852,302","1,324,429","2,003,896","3,581,131","5,054,733","3,482,893","6,115,764","8,502,556","7,869,366","8,750,430","7,679,829","8,890,252","7,232,640","9,067,643","8,418,453","6,884,154","7,083,805","10,689,781","12,769,007"
Armenia,"4,711","11,685","23,030","33,076","51,432","69,212","87,415","117,130","135,723","113,204","119,850","122,809","113,611","112,184","141,175","213,134","223,093","222,790","331,020","480,485"
Aruba,"2,218","3,747","5,636",0,"10,431","10,983","11,704","11,616","17,689","16,244","21,325","53,572","51,743","25,493","24,381","32,589","38,994","35,784","70,361","64,023"
Australia,"6,263,579","8,838,251","11,061,501","13,624,882","17,996,590","22,247,264","20,645,567","27,220,264","33,910,013","37,734,920","37,554,163","39,145,950","40,378,582","37,634,374","41,582,543","47,547,551","48,229,554","53,468,167","66,383,683","78,827,036"
Azerbaijan,"203,489","143,736","233,646","346,672","475,175","686,098","553,289","846,157","892,619","1,069,827","868,568","645,253","439,872","350,494","387,613","516,278","616,392","617,867","994,881","1,135,903"
