Country Name,Semiconductor Devices,Electric Motors,Electric Parts,Secondary Batteries,Steam Turbines,Hydraulic Turbines,Gas Turbines,Electrolysers,Max Export Across Categories,Sum Exported Across Categories,Swap Recipient
Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0
Albania,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.10,1
Algeria,0.10,0.10,0.00,0.10,0.00,0.00,0.00,0.30,0.30,0.70,0
Andorra,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Angola,0.00,0.00,0.10,0.10,0.00,0.10,0.20,0.00,0.20,0.50,0
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Argentina,0.10,0.40,0.40,0.30,0.00,0.90,0.10,0.30,0.90,2.70,1
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Australia,2.30,1.00,1.10,1.40,0.20,0.30,0.10,1.10,2.30,7.40,1
Azerbaijan,0.00,0.00,0.10,0.00,0.80,0.20,0.00,1.00,1.00,2.10,0
Bahamas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Bahrain,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.20,0
Bangladesh,0.10,0.40,0.20,0.70,3.80,0.00,0.10,1.30,3.80,6.70,0
Barbados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Belarus,0.00,0.10,0.10,0.00,0.50,0.10,0.70,0.20,0.70,1.70,1
Belize,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
Benin,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.40,0
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Bolivia, Plurinational State of",0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.30,0
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.20,0
Botswana,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.30,0
Brazil,1.90,2.30,1.90,2.20,0.60,7.80,0.10,0.20,7.80,16.90,1
Brunei Darussalam,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.20,0
Bulgaria,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.10,0.30,0
