Country Name,Manganese Ore,Copper Ore,Nickel Ore,Cobalt Ore,Zinc Ore,Chromium Ore,Molybdenum Ore,Rare Earth Metals,Natural Graphite,Artificial Graphite,Lithium Oxide,Silicon,Swap Recipient
Afghanistan,-,-,-,-,0%,0%,-,-,-,-,-,-,0
Albania,-,0%,0%,-,0%,3%,-,-,-,-,-,-,1
Algeria,-,0%,-,-,0%,-,-,-,0%,0%,-,-,0
American Samoa,-,-,-,-,-,-,-,-,-,-,-,-,0
Andorra,-,-,-,-,-,-,-,-,0%,-,-,-,0
Angola,0%,-,-,-,0%,-,-,-,0%,0%,-,-,0
Antigua and Barbuda,-,-,-,-,-,-,-,0%,-,-,-,-,0
Argentina,0%,2%,-,-,0%,0%,0%,-,0%,0%,0%,-,1
Armenia,-,0%,0%,-,0%,0%,1%,-,-,-,-,-,1
Aruba,-,-,-,-,-,-,-,-,-,0%,-,-,0
Australia,20%,9%,18%,0%,16%,1%,0%,0%,0%,0%,0%,0%,1
Azerbaijan,-,0%,-,-,0%,-,-,-,-,0%,-,-,0
Bahamas,-,-,-,-,-,-,-,-,-,-,-,-,0
Bahrain,0%,0%,-,-,0%,-,-,-,0%,0%,-,0%,0
Bangladesh,0%,0%,-,-,0%,-,-,-,0%,0%,-,0%,0
Barbados,-,-,-,-,-,-,-,-,0%,0%,-,-,0
Belarus,-,-,-,-,0%,-,-,-,0%,0%,-,0%,1
Belize,-,-,-,-,-,-,-,-,-,-,-,-,0
Benin,-,0%,-,-,-,-,-,-,-,-,-,-,0
Bermuda,-,-,-,-,-,-,-,-,-,-,-,-,0
Bhutan,-,-,-,-,-,-,-,-,0%,0%,-,0%,0
"Bolivia Plurinational State of",0%,0%,0%,-,12%,0%,-,-,0%,0%,-,-,0
Bosnia and Herzegovina,0%,0%,-,-,0%,-,-,-,-,0%,-,-,0
Botswana,0%,0%,0%,0%,-,-,0%,-,0%,0%,0%,0%,0
Brazil,8%,4%,2%,0%,0%,0%,0%,0%,6%,1%,0%,0%,1
British Virgin Islands,-,-,-,-,-,-,0%,-,-,0%,-,0%,0
Brunei Darussalam,-,-,-,-,-,-,-,-,0%,0%,-,-,0
Bulgaria,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
Burkina Faso,0%,-,-,-,0%,-,-,-,-,-,-,0%,0
Burundi,-,-,-,-,-,-,-,0%,0%,-,-,-,0
Cabo Verde,-,-,-,-,-,-,-,-,-,-,-,-,0
Cambodia,0%,0%,-,-,-,-,-,-,-,-,-,-,0
Cameroon,0%,-,-,0%,-,-,-,-,-,0%,-,0%,0
Canada,0%,5%,4%,0%,2%,0%,4%,0%,4%,1%,1%,0%,1
Cayman Islands,-,-,-,-,-,-,-,-,-,-,-,-,0
Central African Republic,-,-,-,-,-,-,-,-,-,-,-,-,0
Chad,-,0%,-,0%,-,-,-,-,-,-,-,0%,0
Channel Islands,-,-,-,-,-,-,-,-,-,-,-,-,0
Chile,0%,29%,0%,-,1%,0%,31%,-,0%,0%,16%,-,1
Colombia,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,-,0
Comoros,-,-,-,-,-,-,-,0%,-,-,-,-,0
Congo,0%,0%,-,-,0%,-,-,-,-,0%,-,-,0
"Congo Democratic Republic of the",0%,1%,-,89%,0%,0%,-,-,-,-,-,-,0
Costa Rica,-,-,-,-,-,0%,-,-,0%,0%,-,-,0
Côte d'Ivoire,1%,0%,0%,-,-,-,-,-,-,0%,-,-,0
Croatia,-,-,-,-,0%,0%,0%,-,0%,0%,0%,0%,0
Cuba,-,-,0%,-,0%,0%,-,-,0%,0%,-,-,0
Curaçao,-,-,-,-,-,-,-,-,-,0%,-,-,0
Czech Republic,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0
Denmark,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,-,0
Djibouti,-,-,-,-,0%,0%,-,-,0%,-,-,-,0
Dominica,-,-,-,-,-,-,-,-,-,-,-,-,0
Dominican Republic,-,0%,-,-,0%,-,-,-,-,-,-,-,0
Ecuador,-,0%,-,-,0%,0%,0%,-,0%,0%,0%,-,0
Egypt,0%,0%,-,0%,0%,0%,-,0%,0%,0%,-,0%,1
El Salvador,-,-,-,-,-,-,-,-,0%,0%,-,-,0
Equatorial Guinea,0%,0%,-,-,-,-,-,-,0%,0%,-,-,0
Eritrea,-,0%,-,-,1%,-,-,-,-,-,-,-,0
Eswatini,-,0%,-,-,-,-,-,-,0%,0%,-,-,0
Ethiopia,0%,0%,0%,-,-,0%,-,-,0%,-,-,-,0
European Central Bank,2%,3%,6%,3%,16%,4%,15%,4%,11%,25%,10%,27%,1
Faroe Islands,-,-,-,-,-,-,-,-,-,0%,-,-,0
Fiji,-,0%,-,-,-,-,0%,-,0%,0%,-,-,0
French Polynesia,-,-,-,-,-,-,-,-,-,-,-,-,0
Gabon,8%,-,-,-,-,-,-,-,0%,0%,-,-,0
Gambia,-,-,-,-,-,0%,-,-,-,0%,-,-,0
